2024-02-01 22:15:04.821 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:21:38.878 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:26:04.776 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:26:29.948 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:26:32.959 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:26:42.768 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:27:00.120 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:32:20.290 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:36:50.101 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:36:54.487 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:40:17.794 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:40:27.504 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:40:50.660 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:41:06.553 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:41:07.997 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:45:24.270 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:45:27.867 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:45:35.559 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-01 22:48:37.289 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale/models/sale_order.py
2024-02-02 11:26:14.276 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/purchase_stock/models/purchase_order_line.py
2024-02-02 11:27:43.515 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-02 11:27:48.725 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-02 11:27:53.404 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-02 11:27:56.395 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/models/stock_move.py
2024-02-02 11:35:35.265 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:35:40.873 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:35:43.692 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:36:05.975 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:36:15.652 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:39:51.946 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:45:19.421 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:45:21.419 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:57:24.697 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 11:57:33.039 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:00:30.186 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:05:48.938 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:05:59.632 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:06:05.629 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:06:11.743 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:06:17.151 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:06:21.687 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:11:19.343 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:11:24.581 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:11:27.724 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:14:59.208 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/stock/wizard/product_replenish.py
2024-02-02 12:21:34.195 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order.py
2024-02-02 12:21:38.092 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order.py
2024-02-02 12:25:23.969 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:26:52.267 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
2024-02-02 12:33:16.099 [info] Discover tests for workspace name: addons - uri: /home/luan/odoo/addons/sale_stock/models/sale_order_line.py
