2024-02-01 10:55:22.787 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:22.848 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.884 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:22.900 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.915 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:22.929 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:22.944 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.960 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.978 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:22.995 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:23.014 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:23.033 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:23.064 [info] > git rev-parse --show-toplevel [7ms]
2024-02-01 10:55:23.097 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:23.127 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:23.161 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:23.193 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:23.217 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:23.266 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:23.294 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:23.321 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:23.347 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:23.370 [info] > git rev-parse --show-toplevel [1ms]
2024-02-01 10:55:23.391 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:23.412 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:23.434 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:23.494 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:23.528 [info] > git rev-parse --show-toplevel [6ms]
2024-02-01 10:55:23.556 [info] > git rev-parse --show-toplevel [2ms]
2024-02-01 10:55:23.581 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:23.603 [info] > git rev-parse --show-toplevel [3ms]
2024-02-01 10:55:23.628 [info] > git rev-parse --show-toplevel [8ms]
2024-02-01 10:55:23.655 [info] > git rev-parse --show-toplevel [4ms]
2024-02-01 10:55:23.677 [info] > git rev-parse --show-toplevel [3ms]
